Country,Country_Code,Year,adult_literacy_rate__population_15plus_years__both_sexes__pct__lr_ag15t99,youth_literacy_rate__population_15_24_years__male__pct__lr_ag15t24_m,youth_literacy_rate__population_15_24_years__female__pct__lr_ag15t24_f,Region
India,IND,2011,69.3,90.04,81.85,Asia
India,IND,2012,69.82793,93.432365,86.09988,Asia
India,IND,2016,,93.55,86.74,Asia
India,IND,2018,73.688354,96.307625,92.71818,Asia
India,IND,2019,74.89386,96.24289,93.173134,Asia
India,IND,2020,75.52706,96.53685,94.687584,Asia
India,IND,2021,76.05966,97.07471,94.60402,Asia
India,IND,2022,76.32,97.44,95.54,Asia
India,IND,2023,81.7,97.93,96.07,Asia
India,IND,2024,78.16254,97.99011,96.64052,Asia
Indonesia,IDN,1980,67.31,89.59,81.65,Asia
Indonesia,IDN,1990,81.52,97.4,95.07,Asia
Indonesia,IDN,2004,90.38,98.87,98.54,Asia
Indonesia,IDN,2006,91.98,97.03,96.27,Asia
Indonesia,IDN,2008,92.19,99.54,99.38,Asia
Indonesia,IDN,2009,92.58,99.55,99.4,Asia
Indonesia,IDN,2010,92.32,98.5,98.62,Asia
Indonesia,IDN,2011,92.81,98.8,98.75,Asia
Indonesia,IDN,2014,95.12,99.68,99.68,Asia
Indonesia,IDN,2015,95.22,99.7,99.64,Asia
Indonesia,IDN,2016,95.38,99.68,99.65,Asia
Indonesia,IDN,2017,,99.93,99.29,Asia
Indonesia,IDN,2018,95.66,99.72,99.7,Asia
Indonesia,IDN,2020,96.0,99.78,99.78,Asia
Indonesia,IDN,2022,,92.91,94.72,Asia
Iran,IRN,1976,36.52,70.9,42.33,Asia
Iran,IRN,1986,52.32,84.53,65.59,Asia
Iran,IRN,1991,65.53,92.44,81.2,Asia
Iran,IRN,1996,73.06,95.52,90.56,Asia
Iran,IRN,2002,77.0,,,
Iran,IRN,2005,82.44,98.11,96.74,Asia
Iran,IRN,2006,82.33,97.15,96.13,Asia
Iran,IRN,2008,82.96,98.26,97.47,Asia
Iran,IRN,2009,83.22224,98.1177,97.11642,Asia
Iran,IRN,2010,83.664665,98.20187,97.367546,Asia
Iran,IRN,2011,83.52,97.04,96.35,Asia
Iran,IRN,2012,83.63,98.33,97.66,Asia
Iran,IRN,2013,84.63,98.11,97.44,Asia
Iran,IRN,2014,84.71,98.19,97.68,Asia
Iran,IRN,2015,85.28343,98.13304,97.6524,Asia
Iran,IRN,2016,85.54,98.27,97.93,Asia
Iran,IRN,2017,85.94679,98.24561,98.08512,Asia
Iran,IRN,2018,86.868835,98.29356,98.11491,Asia
Iran,IRN,2019,87.37883,98.541725,98.39039,Asia
Iran,IRN,2020,87.902824,98.564964,98.31657,Asia
Iran,IRN,2021,88.4556,98.68678,98.48548,Asia
Iran,IRN,2022,88.59423,98.59341,98.70787,Asia
Iran,IRN,2023,88.91682,98.851654,98.6179,Asia
Iraq,IRQ,2000,74.05,88.91,80.49,Asia
Iraq,IRQ,2006,,,72.85,Asia
Iraq,IRQ,2011,,,71.93,Asia
Iraq,IRQ,2012,77.2,87.3,79.4,Asia
Iraq,IRQ,2014,82.2,91.9,85.5,Asia
Iraq,IRQ,2016,83.3,93.4,88.3,Asia
Iraq,IRQ,2017,85.6,94.9,92.1,Asia
Iraq,IRQ,2018,,,87.38,Asia
Iraq,IRQ,2021,84.064896,93.799,90.88234,Asia
Israel,ISR,1983,91.75,99.05,98.05,Asia
Italy,ITA,1981,96.46,99.7,99.59,Europe
Italy,ITA,2001,98.42,99.8,99.82,Europe
Italy,ITA,2011,98.85,99.85,99.87,Europe
Italy,ITA,2019,99.35,99.83,99.93,Europe
Jamaica,JAM,1999,79.92,87.31,96.3,North America
Jamaica,JAM,2005,,,99.77,North America
Jamaica,JAM,2011,,,99.72,North America
Jamaica,JAM,2022,,88.23,99.3,North America
Jordan,JOR,1979,66.8,95.79,84.83,Asia
Jordan,JOR,2003,89.89,99.33,98.91,Asia
Jordan,JOR,2005,91.13,98.93,99.02,Asia
Jordan,JOR,2007,92.2,98.95,98.95,Asia
Jordan,JOR,2010,92.55,98.76,98.77,Asia
Jordan,JOR,2011,95.9,99.05,99.25,Asia
Jordan,JOR,2012,97.89,99.0,99.2,Asia
Jordan,JOR,2018,95.43,97.42,95.9,Asia
Jordan,JOR,2023,94.85,99.05,99.41,Asia
Jordan,JOR,2024,94.44,98.48,98.88,Asia
Kazakhstan,KAZ,1989,97.53,99.7,99.15,Asia
Kazakhstan,KAZ,1999,99.51,99.82,99.87,Asia
Kazakhstan,KAZ,2006,,,100.0,Asia
Kazakhstan,KAZ,2009,99.73,99.8,99.87,Asia
Kazakhstan,KAZ,2015,,,100.0,Asia
Kenya,KEN,2000,82.23,93.31,91.94,Africa
Kenya,KEN,2014,,94.02,92.31,Africa
Kiribati,KIR,2018,97.96,95.83,98.5,Oceania
Kiribati,KIR,2019,,,94.49886,Oceania
Kiribati,KIR,2020,98.60798,,,
Kuwait,KWT,1975,59.56,77.69,66.01,Asia
Kuwait,KWT,1980,67.52,81.29,76.03,Asia
Kuwait,KWT,1985,74.49,90.69,84.09,Asia
Kuwait,KWT,1995,78.4,93.8,90.18,Asia
Kuwait,KWT,2005,93.27,99.69,99.79,Asia
Kuwait,KWT,2006,93.28,98.52,98.5,Asia
Kuwait,KWT,2007,93.66,98.4,98.51,Asia
Kuwait,KWT,2008,93.9,98.57,98.74,Asia
Kuwait,KWT,2010,94.47,99.06,98.72,Asia
Kuwait,KWT,2012,95.51,98.74,98.84,Asia
Kuwait,KWT,2013,95.59,99.25,99.04,Asia
Kuwait,KWT,2015,95.69,99.15,99.4,Asia
Kuwait,KWT,2017,96.04,99.06,99.5,Asia
Kuwait,KWT,2018,96.06,98.78,99.5,Asia
Kuwait,KWT,2020,96.46,99.1,99.58,Asia
Kyrgyzstan,KGZ,1999,98.7,99.65,99.74,Asia
Kyrgyzstan,KGZ,2009,99.24,99.7,99.8,Asia
Kyrgyzstan,KGZ,2014,,,99.79,Asia
Laos,LAO,1995,60.25,78.82,64.05,Asia
Laos,LAO,2000,69.58,88.06,73.56,Asia
Laos,LAO,2001,68.73,82.6,74.68,Asia
Laos,LAO,2005,72.7,89.19,78.74,Asia
Laos,LAO,2006,,,67.08,Asia
Laos,LAO,2015,84.66,94.4,90.5,Asia
Laos,LAO,2017,73.72,91.2,84.47,Asia
Laos,LAO,2022,,94.97155,92.68025,Asia
Laos,LAO,2023,75.64,92.2,88.54,Asia
Latin America and Caribbean (WB),WB_LAC,1974,78.13,88.34,86.55,
Latin America and Caribbean (WB),WB_LAC,1975,78.15,88.36,86.58,
Latin America and Caribbean (WB),WB_LAC,1976,78.55,88.51,87.05,
Latin America and Caribbean (WB),WB_LAC,1977,78.99,88.62,87.54,
Latin America and Caribbean (WB),WB_LAC,1978,79.45,88.72,88.05,
Latin America and Caribbean (WB),WB_LAC,1979,79.86,88.71,88.43,
Latin America and Caribbean (WB),WB_LAC,1980,80.23,88.59,88.69,
Latin America and Caribbean (WB),WB_LAC,1981,80.64,88.6,89.07,
Latin America and Caribbean (WB),WB_LAC,1982,81.03,88.6,89.43,
Latin America and Caribbean (WB),WB_LAC,1983,81.41,88.6,89.79,
Latin America and Caribbean (WB),WB_LAC,1984,81.78,88.61,90.13,
Latin America and Caribbean (WB),WB_LAC,1985,82.13,88.64,90.47,
Latin America and Caribbean (WB),WB_LAC,1986,82.48,88.66,90.77,
Latin America and Caribbean (WB),WB_LAC,1987,82.78,88.82,90.95,
Latin America and Caribbean (WB),WB_LAC,1988,83.23,89.01,91.33,
Latin America and Caribbean (WB),WB_LAC,1989,83.65,89.2,91.78,
Latin America and Caribbean (WB),WB_LAC,1990,83.97,89.34,92.2,
Latin America and Caribbean (WB),WB_LAC,1991,84.65,90.13,92.7,
Latin America and Caribbean (WB),WB_LAC,1992,85.32,90.93,93.19,
Latin America and Caribbean (WB),WB_LAC,1993,85.98,91.73,93.64,
Latin America and Caribbean (WB),WB_LAC,1994,86.62,92.52,94.09,
Latin America and Caribbean (WB),WB_LAC,1995,87.26,93.31,94.52,
Latin America and Caribbean (WB),WB_LAC,1996,87.65,93.65,94.82,
Latin America and Caribbean (WB),WB_LAC,1997,87.93,93.84,94.88,
Latin America and Caribbean (WB),WB_LAC,1998,88.29,94.11,95.1,
Latin America and Caribbean (WB),WB_LAC,1999,88.62,94.31,95.33,
Latin America and Caribbean (WB),WB_LAC,2000,88.92,94.51,95.54,
Latin America and Caribbean (WB),WB_LAC,2001,89.11,94.69,95.69,
Latin America and Caribbean (WB),WB_LAC,2002,89.4,95.15,96.02,
Latin America and Caribbean (WB),WB_LAC,2003,90.1,95.99,96.68,
Latin America and Caribbean (WB),WB_LAC,2004,90.38,96.05,96.86,
Latin America and Caribbean (WB),WB_LAC,2005,90.36,96.24,97.04,
Latin America and Caribbean (WB),WB_LAC,2006,90.57,96.47,97.02,
Latin America and Caribbean (WB),WB_LAC,2007,91.41,96.69,97.21,
Latin America and Caribbean (WB),WB_LAC,2008,91.71,96.91,97.38,
Latin America and Caribbean (WB),WB_LAC,2009,91.9,97.14,97.58,
Latin America and Caribbean (WB),WB_LAC,2010,91.82,97.01,97.64,
Latin America and Caribbean (WB),WB_LAC,2011,92.52,97.47,98.04,
Latin America and Caribbean (WB),WB_LAC,2012,92.83,97.67,98.16,
Latin America and Caribbean (WB),WB_LAC,2013,92.81,97.64,98.13,
Latin America and Caribbean (WB),WB_LAC,2014,93.31,98.01,98.42,
Latin America and Caribbean (WB),WB_LAC,2015,93.45,98.07,98.49,
Latin America and Caribbean (WB),WB_LAC,2016,93.89,98.2,98.61,
Latin America and Caribbean (WB),WB_LAC,2017,93.92,98.21,98.57,
Latin America and Caribbean (WB),WB_LAC,2018,94.1,98.3,98.65,
Latin America and Caribbean (WB),WB_LAC,2019,94.27,98.35,98.68,
Latin America and Caribbean (WB),WB_LAC,2020,94.33,98.34,98.68,
Latin America and Caribbean (WB),WB_LAC,2021,94.5,98.38,98.74,
Latin America and Caribbean (WB),WB_LAC,2022,94.68,98.43,98.79,
Latin America and Caribbean (WB),WB_LAC,2023,94.83,98.45,98.82,
Latin America and Caribbean (WB),WB_LAC,2024,94.95,98.49,98.87,
Latin America and the Caribbean (SDG),,1974,78.13,88.34,86.55,
Latin America and the Caribbean (SDG),,1975,78.15,88.36,86.58,
Latin America and the Caribbean (SDG),,1976,78.55,88.51,87.05,
Latin America and the Caribbean (SDG),,1977,78.99,88.62,87.54,
Latin America and the Caribbean (SDG),,1978,79.45,88.72,88.05,
Latin America and the Caribbean (SDG),,1979,79.86,88.71,88.43,
Latin America and the Caribbean (SDG),,1980,80.23,88.59,88.69,
Latin America and the Caribbean (SDG),,1981,80.64,88.6,89.07,
Latin America and the Caribbean (SDG),,1982,81.03,88.6,89.44,
Latin America and the Caribbean (SDG),,1983,81.41,88.6,89.79,
Latin America and the Caribbean (SDG),,1984,81.78,88.61,90.13,
Latin America and the Caribbean (SDG),,1985,82.14,88.64,90.47,
Latin America and the Caribbean (SDG),,1986,82.48,88.66,90.78,
Latin America and the Caribbean (SDG),,1987,82.78,88.82,90.95,
Latin America and the Caribbean (SDG),,1988,83.23,89.01,91.33,
Latin America and the Caribbean (SDG),,1989,83.65,89.2,91.78,
Latin America and the Caribbean (SDG),,1990,83.97,89.34,92.2,
Latin America and the Caribbean (SDG),,1991,84.65,90.13,92.7,
Latin America and the Caribbean (SDG),,1992,85.32,90.93,93.19,
Latin America and the Caribbean (SDG),,1993,85.98,91.73,93.64,
Latin America and the Caribbean (SDG),,1994,86.62,92.52,94.09,
Latin America and the Caribbean (SDG),,1995,87.26,93.31,94.52,
Latin America and the Caribbean (SDG),,1996,87.65,93.65,94.82,
Latin America and the Caribbean (SDG),,1997,87.93,93.84,94.88,
Latin America and the Caribbean (SDG),,1998,88.29,94.11,95.1,
Latin America and the Caribbean (SDG),,1999,88.62,94.31,95.33,
Latin America and the Caribbean (SDG),,2000,88.92,94.51,95.54,
Latin America and the Caribbean (SDG),,2001,89.11,94.69,95.69,
Latin America and the Caribbean (SDG),,2002,89.4,95.15,96.02,
Latin America and the Caribbean (SDG),,2003,90.1,95.99,96.68,
Latin America and the Caribbean (SDG),,2004,90.38,96.05,96.86,
Latin America and the Caribbean (SDG),,2005,90.36,96.24,97.04,
Latin America and the Caribbean (SDG),,2006,90.57,96.47,97.02,
Latin America and the Caribbean (SDG),,2007,91.41,96.69,97.21,
Latin America and the Caribbean (SDG),,2008,91.71,96.91,97.38,
Latin America and the Caribbean (SDG),,2009,91.9,97.14,97.58,
Latin America and the Caribbean (SDG),,2010,91.82,97.01,97.64,
Latin America and the Caribbean (SDG),,2011,92.52,97.47,98.04,
Latin America and the Caribbean (SDG),,2012,92.83,97.67,98.16,
Latin America and the Caribbean (SDG),,2013,92.81,97.64,98.13,
Latin America and the Caribbean (SDG),,2014,93.31,98.01,98.42,
Latin America and the Caribbean (SDG),,2015,93.45,98.07,98.49,
Latin America and the Caribbean (SDG),,2016,93.89,98.2,98.61,
Latin America and the Caribbean (SDG),,2017,93.92,98.21,98.57,
Latin America and the Caribbean (SDG),,2018,94.1,98.3,98.65,
Latin America and the Caribbean (SDG),,2019,94.27,98.35,98.68,
Latin America and the Caribbean (SDG),,2020,94.33,98.34,98.68,
Latin America and the Caribbean (SDG),,2021,94.5,98.38,98.74,
Latin America and the Caribbean (SDG),,2022,94.68,98.43,98.79,
Latin America and the Caribbean (SDG),,2023,94.83,98.45,98.82,
Latin America and the Caribbean (SDG),,2024,94.95,98.49,98.87,
Latvia,LVA,1989,99.45,99.75,99.82,Europe
Latvia,LVA,2000,99.75,99.72,99.78,Europe
Latvia,LVA,2011,99.9,99.8,99.87,Europe
Lebanon,LBN,2007,89.61,98.4,99.08,Asia
Lebanon,LBN,2009,91.18,99.16,99.34,Asia
Lebanon,LBN,2018,92.67,97.89,95.61,Asia
Lebanon,LBN,2019,92.00997,97.921875,95.459206,Asia
Lesotho,LSO,2000,86.25,84.83,97.5,Africa
Lesotho,LSO,2006,66.1,66.24,84.98,Africa
Lesotho,LSO,2009,,82.23,94.25,Africa
Lesotho,LSO,2014,,87.37,96.52,Africa
Lesotho,LSO,2016,97.27,96.98,99.56,Africa
Lesotho,LSO,2018,86.24,92.35,98.27,Africa
Lesotho,LSO,2019,92.396164,95.54545,100.0,Africa
Lesotho,LSO,2024,90.45,94.31,98.8,Africa
Liberia,LBR,1984,32.11,62.83,33.72,Africa
Liberia,LBR,2007,,77.33,51.49,Africa
Liberia,LBR,2010,59.40303,86.36883,73.020676,Africa
Liberia,LBR,2013,,83.75,63.2,Africa
Libya,LBY,1984,60.16,97.85,80.31,Africa
Lithuania,LTU,1989,98.44,99.64,99.71,Europe
Lithuania,LTU,2001,99.65,99.66,99.74,Europe
Lithuania,LTU,2011,99.82,99.85,99.87,Europe
Low-income countries,OWID_LIC,1988,46.48,66.72,48.39,
Low-income countries,OWID_LIC,1989,46.91,66.98,48.85,
Low-income countries,OWID_LIC,1990,47.42,67.1,49.4,
Low-income countries,OWID_LIC,1991,47.7,66.56,49.15,
Low-income countries,OWID_LIC,1992,47.82,65.88,48.72,
Low-income countries,OWID_LIC,1993,48.08,65.58,48.84,
Low-income countries,OWID_LIC,1994,48.34,65.32,48.99,
Low-income countries,OWID_LIC,1995,48.82,65.57,49.41,
Low-income countries,OWID_LIC,1996,49.16,65.26,49.76,
Low-income countries,OWID_LIC,1997,49.77,65.15,50.29,
Low-income countries,OWID_LIC,1998,50.44,65.41,50.87,
Low-income countries,OWID_LIC,1999,51.01,65.59,51.37,
Low-income countries,OWID_LIC,2000,51.43,65.36,52.02,
Low-income countries,OWID_LIC,2001,52.07,65.59,52.92,
Low-income countries,OWID_LIC,2002,52.72,69.65,53.2,
Low-income countries,OWID_LIC,2003,53.14,69.71,54.08,
Low-income countries,OWID_LIC,2004,53.61,70.32,54.79,
Low-income countries,OWID_LIC,2005,54.02,70.53,55.39,
Low-income countries,OWID_LIC,2006,52.17,69.78,53.24,
Low-income countries,OWID_LIC,2007,53.39,70.85,55.43,
Low-income countries,OWID_LIC,2008,54.25,71.94,56.85,
Low-income countries,OWID_LIC,2009,54.77,72.61,57.87,
Low-income countries,OWID_LIC,2010,55.27,72.84,59.02,
Low-income countries,OWID_LIC,2011,57.49,74.78,62.94,
Low-income countries,OWID_LIC,2012,57.98,75.6,63.88,
Low-income countries,OWID_LIC,2013,58.9,76.41,65.42,
Low-income countries,OWID_LIC,2014,59.03,76.3,65.6,
Low-income countries,OWID_LIC,2015,59.7,76.63,66.74,
Low-income countries,OWID_LIC,2016,60.36,76.77,67.93,
Low-income countries,OWID_LIC,2017,61.42,77.34,69.31,
Low-income countries,OWID_LIC,2018,61.72,77.3,69.14,
Low-income countries,OWID_LIC,2019,61.74,77.08,69.54,
Low-income countries,OWID_LIC,2020,61.88,77.15,69.9,
Low-income countries,OWID_LIC,2021,62.33,77.44,70.66,
Low-income countries,OWID_LIC,2022,62.77,77.67,71.37,
Low-income countries,OWID_LIC,2023,63.21,77.91,72.06,
Low-income countries,OWID_LIC,2024,63.57,78.1,72.64,
Lower-middle-income countries,OWID_LMC,1975,43.73,67.28,42.89,
Lower-middle-income countries,OWID_LMC,1976,43.83,67.35,43.11,
Lower-middle-income countries,OWID_LMC,1977,44.39,67.76,44.15,
Lower-middle-income countries,OWID_LMC,1978,44.97,68.09,45.2,
Lower-middle-income countries,OWID_LMC,1979,45.54,68.34,46.23,
Lower-middle-income countries,OWID_LMC,1980,46.1,68.51,47.15,
Lower-middle-income countries,OWID_LMC,1981,46.65,68.63,48.0,
Lower-middle-income countries,OWID_LMC,1982,47.23,68.84,48.97,
Lower-middle-income countries,OWID_LMC,1983,47.73,69.02,49.84,
Lower-middle-income countries,OWID_LMC,1984,48.34,69.22,50.88,
Lower-middle-income countries,OWID_LMC,1985,48.95,69.45,51.91,
Lower-middle-income countries,OWID_LMC,1986,49.49,69.68,52.87,
Lower-middle-income countries,OWID_LMC,1987,50.34,70.16,54.02,
Lower-middle-income countries,OWID_LMC,1988,51.0,72.36,52.71,
Lower-middle-income countries,OWID_LMC,1989,51.7,73.06,54.17,
Lower-middle-income countries,OWID_LMC,1990,52.42,73.69,55.59,
Lower-middle-income countries,OWID_LMC,1991,53.18,74.32,57.0,
Lower-middle-income countries,OWID_LMC,1992,54.1,75.39,58.31,
Lower-middle-income countries,OWID_LMC,1993,55.0,76.38,59.36,
Lower-middle-income countries,OWID_LMC,1994,55.87,77.03,60.88,
Lower-middle-income countries,OWID_LMC,1995,56.69,77.55,62.25,
Lower-middle-income countries,OWID_LMC,1996,57.52,78.18,63.63,
Lower-middle-income countries,OWID_LMC,1997,58.35,78.72,64.86,
Lower-middle-income countries,OWID_LMC,1998,61.85,81.53,66.72,
Lower-middle-income countries,OWID_LMC,1999,62.64,82.14,68.27,
Lower-middle-income countries,OWID_LMC,2000,62.87,82.29,68.59,
Lower-middle-income countries,OWID_LMC,2001,63.61,82.68,69.94,
Lower-middle-income countries,OWID_LMC,2002,64.35,83.08,71.25,
Lower-middle-income countries,OWID_LMC,2003,65.4,84.07,72.23,
Lower-middle-income countries,OWID_LMC,2004,66.11,84.4,73.51,
Lower-middle-income countries,OWID_LMC,2005,65.9,85.34,73.55,
Lower-middle-income countries,OWID_LMC,2006,65.86,84.47,74.43,
Lower-middle-income countries,OWID_LMC,2007,66.37,84.68,75.4,
Lower-middle-income countries,OWID_LMC,2008,67.03,85.18,76.48,
Lower-middle-income countries,OWID_LMC,2009,67.71,85.51,77.5,
Lower-middle-income countries,OWID_LMC,2010,69.59,86.81,78.73,
Lower-middle-income countries,OWID_LMC,2011,70.29,87.08,79.83,
Lower-middle-income countries,OWID_LMC,2012,70.72,87.71,80.98,
Lower-middle-income countries,OWID_LMC,2013,71.6,88.67,82.53,
Lower-middle-income countries,OWID_LMC,2014,72.23,88.98,83.58,
Lower-middle-income countries,OWID_LMC,2015,73.31,89.55,84.72,
Lower-middle-income countries,OWID_LMC,2016,74.07,89.93,85.55,
Lower-middle-income countries,OWID_LMC,2017,74.61,90.32,86.11,
Lower-middle-income countries,OWID_LMC,2018,75.44,90.65,86.68,
Lower-middle-income countries,OWID_LMC,2019,75.41,92.49,88.35,
Lower-middle-income countries,OWID_LMC,2020,76.04,92.72,88.86,
Lower-middle-income countries,OWID_LMC,2021,76.65,92.93,89.32,
Lower-middle-income countries,OWID_LMC,2022,77.26,93.02,89.67,
Lower-middle-income countries,OWID_LMC,2023,77.78,93.2,90.08,
Lower-middle-income countries,OWID_LMC,2024,78.28,93.37,90.45,
Macao,MAC,1981,90.38,95.14,94.21,Asia
Macao,MAC,2001,91.3,99.43,99.81,Asia
Macao,MAC,2006,93.5,99.59,99.7,Asia
Macao,MAC,2011,95.64,99.65,99.69,Asia
Macao,MAC,2016,96.54,99.73,99.87,Asia
Madagascar,MDG,2000,70.69,72.65,68.19,Africa
Madagascar,MDG,2012,71.57,78.41,75.3,Africa
Madagascar,MDG,2018,76.68,80.58,79.18,Africa
Madagascar,MDG,2021,74.69,82.53,82.24,Africa
Malawi,MWI,1987,48.54,70.44,49.13,Africa
Malawi,MWI,1998,64.13,82.09,70.7,Africa
Malawi,MWI,2006,,,72.23,Africa
Malawi,MWI,2014,,,75.73,Africa
Malawi,MWI,2017,72.826675,86.52268,84.46849,Africa
Malawi,MWI,2018,76.72,88.25,87.07,Africa
Malawi,MWI,2020,70.15,81.3,80.14,Africa
Malaysia,MYS,1980,69.52,89.5,86.53,Asia
Malaysia,MYS,1991,82.92,95.91,95.22,Asia
Malaysia,MYS,2000,88.69,97.21,97.27,Asia
Malaysia,MYS,2010,93.12,98.38,98.46,Asia
Malaysia,MYS,2016,94.88,97.39,97.86,Asia
Malaysia,MYS,2017,95.08,97.12,97.44,Asia
Malaysia,MYS,2018,94.85,96.7,97.02,Asia
Malaysia,MYS,2019,94.97,96.6,96.98,Asia
Malaysia,MYS,2022,95.77,99.26,98.28,Asia
Maldives,MDV,1977,82.3,84.13,87.12,Asia
Maldives,MDV,1985,92.23,94.89,96.18,Asia
Maldives,MDV,1990,96.02,98.08,98.32,Asia
Maldives,MDV,1995,96.33,98.03,98.3,Asia
Maldives,MDV,2000,96.33,98.03,98.3,Asia
Maldives,MDV,2006,98.4,99.24,99.36,Asia
Maldives,MDV,2014,98.61,99.08,99.44,Asia
Maldives,MDV,2016,97.73,98.39,99.09,Asia
Maldives,MDV,2017,94.51,97.31,99.67,Asia
Maldives,MDV,2019,98.21,98.62,98.87,Asia
Mali,MLI,1976,9.43,26.67,13.47,Africa
Mali,MLI,1998,19.04,32.25,16.86,Africa
Mali,MLI,2003,24.0,,,
Mali,MLI,2006,26.18,47.38,30.8,Africa
Mali,MLI,2010,31.1,56.37,33.95,Africa
Mali,MLI,2011,30.62,56.32,29.7,Africa
Mali,MLI,2015,33.07,60.53,39.21,Africa
Mali,MLI,2018,35.47,57.83,43.4,Africa
Mali,MLI,2020,,44.16,60.92,Africa
Mali,MLI,2024,35.63,57.24,43.12,Africa
Malta,MLT,1985,86.93,96.93,98.87,Europe
Malta,MLT,1995,87.87,94.37,97.81,Europe
Malta,MLT,2005,92.36,97.46,99.11,Europe
Malta,MLT,2011,93.31,98.4,99.39,Europe
Marshall Islands,MHL,2011,98.27,98.17,98.76,Oceania
Marshall Islands,MHL,2019,98.18,99.01,97.22,Oceania
Marshall Islands,MHL,2021,95.76293,95.4913,97.28088,Oceania
Martinique,MTQ,1982,92.8,99.21,98.54,North America
Mauritania,MRT,2000,51.21,67.73,55.48,Africa
Mauritania,MRT,2007,,,47.94,Africa
Mauritania,MRT,2011,,,57.65,Africa
Mauritania,MRT,2013,62.07,74.22,68.05,Africa
Mauritania,MRT,2015,65.11,86.73,75.7,Africa
Mauritania,MRT,2020,59.53,75.26,66.98,Africa
Mauritius,MUS,1990,79.87,90.7,91.71,Africa
Mauritius,MUS,2000,84.3,93.72,95.36,Africa
Mauritius,MUS,2011,89.25,97.69,98.58,Africa
Mauritius,MUS,2012,91.77,,,
Mauritius,MUS,2013,91.49,,,
Mauritius,MUS,2014,92.47,,,
Mauritius,MUS,2015,92.71,,,
Mauritius,MUS,2016,93.16,,,
Mauritius,MUS,2021,92.98002,100.0,100.0,Africa
Mauritius,MUS,2022,,100.0,100.0,Africa
Mauritius,MUS,2023,94.28778,99.81589,100.0,Africa
Mexico,MEX,1980,82.99,93.09,90.86,North America
Mexico,MEX,1990,87.56,95.96,94.9,North America
Mexico,MEX,2000,90.54,96.75,96.48,North America
Mexico,MEX,2002,90.27,97.94,97.27,North America
Mexico,MEX,2004,90.95,97.52,97.61,North America
Mexico,MEX,2005,91.63,97.64,97.63,North America
Mexico,MEX,2006,91.73,98.11,97.69,North America
Mexico,MEX,2007,92.8,98.2,98.12,North America
Mexico,MEX,2008,92.93,98.41,98.36,North America
Mexico,MEX,2009,93.44,98.67,98.38,North America
Mexico,MEX,2010,93.07,98.38,98.49,North America
Mexico,MEX,2011,93.52,98.42,98.51,North America
Mexico,MEX,2012,94.23,98.72,99.03,North America
Mexico,MEX,2013,93.96,98.53,98.6,North America
Mexico,MEX,2014,94.56,98.92,99.08,North America
Mexico,MEX,2015,94.47,98.87,99.01,North America
Mexico,MEX,2016,94.86,99.03,99.21,North America
Mexico,MEX,2017,94.97,99.08,99.17,North America
Mexico,MEX,2018,95.38,99.25,99.39,North America
Mexico,MEX,2019,95.38894,99.13794,99.249664,North America
Mexico,MEX,2020,95.25,98.99,99.17,North America
Mexico,MEX,2021,95.689095,99.19609,99.31327,North America
Mexico,MEX,2022,95.12,98.74,99.17,North America
Mexico,MEX,2023,95.834694,99.061646,99.26538,North America
Mexico,MEX,2024,95.55,98.79,99.05,North America
Moldova,MDA,1989,96.38,99.72,99.74,Europe
Moldova,MDA,2000,96.65,99.4,99.65,Europe
Moldova,MDA,2005,,99.87,99.95,Europe
Moldova,MDA,2012,,100.0,99.84,Europe
Moldova,MDA,2014,99.36,99.81,99.82,Europe
Mongolia,MNG,2000,97.77,97.0,98.43,Asia
Mongolia,MNG,2010,98.26,98.02,98.91,Asia
Mongolia,MNG,2018,96.9,99.64,99.42,Asia
Mongolia,MNG,2019,98.46,98.43,99.32,Asia
Mongolia,MNG,2020,99.18,98.93,99.23,Asia
Mongolia,MNG,2021,99.214355,99.798096,100.0,Asia
Mongolia,MNG,2022,98.73,99.62,99.77,Asia
Mongolia,MNG,2023,98.64,99.34,99.67,Asia
Mongolia,MNG,2024,98.64,99.69,98.93,Asia
Montenegro,MNE,1981,89.64,99.15,98.29,Europe
Montenegro,MNE,1991,93.46,99.26,98.99,Europe
Montenegro,MNE,2003,97.77,99.46,99.36,Europe
Montenegro,MNE,2005,,,99.21,Europe
Montenegro,MNE,2011,98.44,99.36,99.05,Europe
Montenegro,MNE,2013,,,99.76,Europe
Montenegro,MNE,2018,98.53,96.23,98.95,Europe
Morocco,MAR,1982,30.26,58.12,30.95,Africa
Morocco,MAR,1994,41.59,71.38,46.0,Africa
Morocco,MAR,2004,52.31,80.8,60.49,Africa
Morocco,MAR,2008,55.15,85.81,69.9,Africa
Morocco,MAR,2009,56.08,86.73,72.15,Africa
Morocco,MAR,2011,67.08,88.83,74.03,Africa
Morocco,MAR,2012,69.16,94.38,87.61,Africa
Morocco,MAR,2014,64.26,92.97,85.28,Africa
Mozambique,MOZ,1980,27.0,63.95,25.12,Africa
Mozambique,MOZ,1997,38.71,59.45,36.55,Africa
Mozambique,MOZ,2003,48.16,74.36,50.04,Africa
Mozambique,MOZ,2008,,,39.45,Africa
Mozambique,MOZ,2009,50.58,79.84,56.54,Africa
Mozambique,MOZ,2015,56.04,79.07,62.67,Africa
Mozambique,MOZ,2017,60.66,77.26,65.49,Africa
